aapl	320193
msft	789019
amzn	1018724
goog	1652044
tcehy	1293451
tsla	1318605
fb	1326801
baba	1577552
tsm	1046179
brk-a	1067983
brk-b	1067983
brk.a	1067983
brk.b	1067983
v	1403161
jnj	200406
jpm	19617
wmt	104169
nvda	1045810
spy	884394
pypl	1633917
dis	1744489
ma	1141391
lvmuy	824046
pg	80424
unh	731766
hd	354950
bac	70858
idcby	1445468
intc	50863
asml	937966
nflx	1065280
cmcsa	1166691
pdd	1737806
adbe	796343
abt	1800
tm	1094517
vz	732712
nke	320187
ul	217410
crm	1108524
ko	21344
xom	34088
cihky	1495688
nvs	1114448
t	732717
cichy	1445474
tmo	97745
csco	858877
orcl	1341439
lly	59478
avgo	1730168
pfe	78003
orcl	1341439
mrk	310158
pep	77476
abbv	1551152
cvx	93410
shop	1594805
bhp	811809
dhr	313616
nvo	353278
acn	1467373
acgby	1501437
qcom	804328
sftby	1065521
txn	97476
nee	753308
mdt	1613103
mcd	63908
sap	1000184
cost	909832
jd	1549802
tmus	1283699
bbl	1171264
rtntf	887028
rds-a	1306965
hon	773840
unp	100885
se	1703399
ups	1090727
sne	313838
wfc	72971
amgn	318154
azn	901832
ms	895421
bmy	14272
pm	1413329
bachy	1378999
lin	1707925
c	831001
qqq	1067839
low	60667
abnb	1559720
zm	1585521
bud	1668717
lfc	1268896
sbux	829224
ba	12927
sq	1512673
hdb	1144967
sny	1121404
ry	1000275
chtr	1091667
hesay	1436949
now	1373715
amd	2488
intu	896878
hsbc	1089113
uber	1543151
ptr	1108329
tot	879764
byddy	1445162
rtx	101829
blk	1364742
chl	1117795
schw	316709
td	947263
ibm	51143
cat	18230
amat	6951
bidu	1329099
gs	886982
el	1001250
axp	4962
rio	863064
mmm	66740
ge	40545
amt	1053507
chdry	1450488
mu	723125
de	315189
deo	835403
cvs	64803
meli	1099590
tgt	27419
isrg	1035267
lmt	936468
snap	1564408
syk	310764
nio	1736541
frcoy	1446595
ntes	1110646
vale	917851
gsk	1131399
bkng	1075531
eadsy	1378580
hkxcy	1445476
sbgsy	923734
bti	1303523
snow	1640147
fis	1136893
dmlry	1067318
gild	882095
lrcx	707549
ppruy	1445465
njdcy	1158967
spgi	64040
tjx	109198
chgcy	1453934
mo	764180
atvi	718877
pld	1045609
pstvy	1689565
beke	1809587
zts	1555280
cni	16868
mdlz	1103982
aiquy	1161167
gm	1467858
cta-pa	30554
infy	1067491
bdx	10795
snp	1123658
cb	896159
ilmn	1110803
bp	313807
fisv	798354
tfc	92230
mrna	1682852
esloy	1085922
ci	1739940
shecy	1442651
kddiy	1106215
antm	1156039
usb	36104
adp	8670
dnngy	1679771
cci	1051470
enb	895728
twlo	1447669
fdx	1048911
pbr	1119639
pnc	713676
csx	277948
bns	9631
wday	1327811
cl	21665
adsk	769397
cme	1156375
duk	1326160
shw	89800
atlky	748954
mufg	67088
bam	1001085
spot	1639920
dash	1792789
dkily	1446519
nsc	702165
cop	1163165
toely	1443276
itw	49826
so	92122
team	1650372
eqix	1101239
lnsty	1439584
ecl	31462
ice	1571949
rbgly	1420798
wbk	719245
ibn	1103838
vmw	1124610
pltr	1321655
abb	1091587
dell	1571996
mraay	1450468
roku	1428439
adi	6281
gpn	1123360
vcisy	1065198
hca	860730
san	891478
d	715957
eqnr	1140625
apd	2969
